City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,2015-01-01,472.0,313.22,607.98,36.39,9.25,15.2,41.68
Delhi,2015-01-02,454.0,186.18,269.55,32.87,6.65,9.54,29.97
Delhi,2015-01-03,143.0,87.18,131.9,30.31,2.65,10.61,19.71
Delhi,2015-01-04,319.0,151.84,241.84,36.91,4.63,11.54,25.36
Delhi,2015-01-05,325.0,146.6,219.13,34.92,3.33,9.2,23.2
Delhi,2015-01-06,318.0,149.58,252.1,37.84,3.66,9.44,26.83
Delhi,2015-01-07,353.0,217.87,376.51,40.15,5.82,9.78,28.96
Delhi,2015-01-08,383.0,229.9,360.95,43.16,3.31,11.01,30.51
Delhi,2015-01-09,375.0,201.66,397.43,38.56,3.48,11.09,32.94
Delhi,2015-01-10,376.0,221.02,361.74,46.39,5.91,9.7,34.12
Delhi,2015-01-11,379.0,205.41,393.2,47.29,5.54,10.98,50.37
Delhi,2015-01-12,375.0,212.41,345.63,44.71,5.17,9.3,40.08
Delhi,2015-01-13,366.0,197.61,301.04,45.88,5.95,11.52,39.54
Delhi,2015-01-14,353.0,164.39,227.38,41.17,4.85,10.32,42.05
Delhi,2015-01-15,340.0,166.19,283.93,56.7,6.94,10.81,43.25
Delhi,2015-01-16,356.0,174.98,309.99,49.41,4.69,11.46,34.7
Delhi,2015-01-17,360.0,196.46,356.2,53.04,5.13,8.87,25.77
Delhi,2015-01-18,370.0,201.51,359.75,53.77,5.43,8.99,23.22
Delhi,2015-01-19,362.0,183.35,305.13,39.88,4.21,9.02,25.34
Delhi,2015-01-20,340.0,165.63,257.04,34.23,4.11,8.03,22.69
Delhi,2015-01-21,338.0,159.54,235.27,22.56,7.05,9.01,18.56
Delhi,2015-01-22,332.0,143.68,183.89,21.82,8.64,10.58,6.94
Delhi,2015-01-23,254.0,128.73,136.07,17.35,6.77,8.74,10.91
Delhi,2015-01-24,324.0,164.98,200.02,15.77,8.89,9.39,9.35
Delhi,2015-01-25,333.0,148.59,203.81,20.83,5.96,11.44,16.65
Delhi,2015-01-26,292.0,129.34,137.86,25.66,6.78,10.19,18.18
Delhi,2015-01-27,318.0,154.2,217.2,30.39,6.42,10.36,17.11
Delhi,2015-01-28,295.0,134.6,156.9,28.6,5.21,10.21,15.23
Delhi,2015-01-29,327.0,173.13,277.0,38.34,5.53,11.74,16.29
Delhi,2015-01-30,345.0,178.04,272.61,38.43,6.43,11.58,14.91
Delhi,2015-01-31,334.0,158.59,207.06,41.36,5.03,8.7,17.51
Delhi,2015-02-01,358.0,211.59,371.05,58.17,9.9,13.08,23.28
Delhi,2015-02-02,349.0,163.64,219.84,37.25,5.31,10.59,28.38
Delhi,2015-02-03,334.0,157.71,194.09,31.05,5.64,8.21,28.56
Delhi,2015-02-04,313.0,137.26,147.08,29.69,5.06,9.11,15.07
Delhi,2015-02-05,262.0,131.76,127.42,36.51,4.85,8.18,21.7
Delhi,2015-02-06,303.0,151.6,330.99,67.0,9.13,5.51,33.92
Delhi,2015-02-07,329.0,160.75,210.52,57.69,6.91,10.28,43.44
Delhi,2015-02-08,323.0,145.34,215.69,50.39,8.66,5.39,30.43
Delhi,2015-02-09,266.0,134.67,109.86,39.18,9.7,5.11,20.62
Delhi,2015-02-10,319.0,153.07,218.23,42.2,5.81,10.88,19.02
Delhi,2015-02-11,334.0,116.91,316.14,53.63,7.54,12.64,27.17
Delhi,2015-02-12,342.0,177.98,394.97,42.73,9.2,13.75,25.58
Delhi,2015-02-13,341.0,167.01,328.43,44.61,7.77,11.26,27.62
Delhi,2015-02-14,377.0,193.96,412.46,53.81,9.36,11.73,34.22
Delhi,2015-02-15,391.0,184.06,497.37,58.15,9.13,13.78,40.91
Delhi,2015-02-16,358.0,152.62,310.74,44.22,6.79,11.55,34.36
Delhi,2015-02-17,327.0,161.27,195.78,25.4,5.6,10.3,41.62
Delhi,2015-02-18,365.0,188.2,253.53,60.29,8.65,16.23,36.54
Delhi,2015-02-19,352.0,159.97,193.78,40.51,5.08,13.11,31.88
Delhi,2015-02-20,317.0,144.12,162.2,34.71,5.93,11.45,31.61
Delhi,2015-02-21,320.0,155.38,191.03,45.11,12.24,14.21,30.11
Delhi,2015-02-22,279.0,124.1,107.61,31.83,5.68,9.73,27.19
Delhi,2015-02-23,281.0,141.39,157.01,38.23,9.43,9.29,36.86
Delhi,2015-02-24,354.0,170.16,238.33,48.4,9.28,14.17,37.39
Delhi,2015-02-25,340.0,148.19,169.57,29.28,5.94,14.13,31.57
Delhi,2015-02-26,323.0,140.78,171.64,20.95,6.98,13.61,28.72
Delhi,2015-02-27,315.0,130.42,163.67,24.75,12.12,12.78,34.08
Delhi,2015-02-28,310.0,105.86,169.28,20.65,12.48,11.8,41.38
Delhi,2015-03-01,324.0,71.83,98.89,21.42,10.99,11.62,22.51
Delhi,2015-03-02,226.0,53.71,60.15,13.43,3.21,10.19,22.08
Delhi,2015-03-03,266.0,83.49,112.1,23.75,5.07,11.72,20.83
Delhi,2015-03-04,200.0,91.07,139.15,24.28,4.68,10.64,25.83
Delhi,2015-03-05,275.0,106.57,196.19,31.12,5.97,9.36,32.88
Delhi,2015-03-06,322.0,101.75,163.14,26.59,5.96,10.55,33.67
Delhi,2015-03-07,216.0,77.57,90.54,19.15,5.18,9.48,23.09
Delhi,2015-03-08,108.0,63.24,80.2,20.35,3.98,8.19,20.71
Delhi,2015-03-09,197.0,76.62,117.38,18.21,4.2,9.02,22.85
Delhi,2015-03-10,238.0,86.7,150.92,18.82,3.84,7.98,25.87
Delhi,2015-03-11,274.0,104.29,176.2,25.63,6.3,10.76,29.62
Delhi,2015-03-12,315.0,115.93,203.75,32.29,7.03,11.3,35.05
Delhi,2015-03-13,307.0,108.66,173.89,30.75,10.65,10.23,34.05
Delhi,2015-03-14,208.0,67.94,105.29,29.78,10.14,9.18,23.39
Delhi,2015-03-15,165.0,38.89,46.68,17.76,4.25,8.23,22.0
Delhi,2015-03-16,188.0,45.39,74.14,17.14,8.8,7.87,25.55
Delhi,2015-03-17,217.0,55.55,104.33,20.96,7.19,10.45,23.11
Delhi,2015-03-18,191.0,50.59,95.56,16.6,3.6,7.83,27.5
Delhi,2015-03-19,240.0,69.51,136.67,23.77,4.97,7.89,27.07
Delhi,2015-03-20,229.0,96.62,168.0,29.04,6.66,9.59,29.01
Delhi,2015-03-21,248.0,96.28,172.91,29.21,7.31,8.82,25.97
Delhi,2015-03-22,204.0,72.2,122.12,20.27,4.4,8.5,25.48
Delhi,2015-03-23,271.0,78.47,131.42,23.04,4.07,8.6,27.1
Delhi,2015-03-24,290.0,91.87,179.36,30.01,7.35,10.1,34.78
Delhi,2015-03-25,340.0,107.26,201.08,33.82,11.82,11.69,45.78
Delhi,2015-03-26,358.0,109.78,217.9,33.02,9.3,12.67,40.0
Delhi,2015-03-27,287.0,62.27,117.81,24.76,10.91,9.29,31.08
Delhi,2015-03-28,323.0,102.22,212.96,29.41,17.16,10.47,40.23
Delhi,2015-03-29,360.0,104.36,202.01,33.86,16.92,14.42,32.84
Delhi,2015-03-30,268.0,44.19,57.0,17.6,7.75,9.58,26.81
Delhi,2015-03-31,283.0,55.66,78.64,20.13,9.34,9.56,34.15
Delhi,2015-04-01,309.0,112.86,167.6,32.71,19.48,10.15,38.45
Delhi,2015-04-02,249.0,78.51,112.78,20.54,14.37,6.72,35.54
Delhi,2015-04-03,245.0,66.52,76.05,18.47,10.62,8.24,24.85
Delhi,2015-04-04,229.0,62.56,86.11,24.96,12.94,5.52,27.98
Delhi,2015-04-05,234.0,78.61,145.1,27.75,16.72,7.97,40.79
Delhi,2015-04-06,343.0,119.7,195.47,32.83,16.63,11.01,30.32
Delhi,2015-04-07,262.0,66.09,95.81,24.47,8.34,7.29,43.23
Delhi,2015-04-08,308.0,95.34,120.2,34.72,17.99,9.28,61.68
Delhi,2015-04-09,293.0,63.57,148.17,35.15,10.48,6.57,35.18
